x,y
1004.25665,-1197.2893
1001.6526,-1198.4752
999.1424,-1198.8143
993.25714,-1227.5575
991.753,-1219.0471
988.0807,-1228.4493
985.65735,-1227.5576
981.90826,-1237.098
978.1691,-1246.2418
975.3764,-1247.9061
973.194,-1244.9642
970.4473,-1246.2596
967.8476,-1246.4531
964.5709,-1251.4575
961.6132,-1254.0751
958.8051,-1255.5824
956.0725,-1256.5327
953.50336,-1256.3622
950.70776,-1257.6919
948.10785,-1257.7115
945.30304,-1259.0471
942.52167,-1260.1985
939.6443,-1261.9194
936.9121,-1262.7008
935.2285,-1257.0858
932.2542,-1259.3657
929.4593,-1260.5249
926.0774,-1265.0916
923.26337,-1266.264
920.976,-1264.4023
918.15857,-1265.5763
915.3698,-1266.5638
914.62976,-1256.2445
911.9279,-1256.847
909.77795,-1254.4661
907.5317,-1252.6531
904.7635,-1253.6282
902.52594,-1251.8213
899.8274,-1252.4269
897.0165,-1253.5913
894.75287,-1251.9751
891.97473,-1252.9559
889.19165,-1253.9398
886.3272,-1255.2987
883.5717,-1256.1025
880.3815,-1258.9651
877.8105,-1258.84
874.6381,-1261.5298
871.5731,-1263.6666
868.70264,-1264.8667
865.6587,-1266.8282
863.65674,-1264.0615
860.81696,-1265.078
857.88544,-1266.4763
855.1197,-1267.1205
852.70013,-1266.2507
850.6792,-1263.6855
847.60095,-1265.6543
845.0513,-1265.3591
842.7734,-1263.9338
839.86115,-1265.1519
837.7723,-1262.9772
835.2277,-1262.6898
832.3098,-1263.909
847.2635,-1193.9254
844.81757,-1193.8485
842.1163,-1194.7753
839.75604,-1194.3652
837.1813,-1194.7917
834.9995,-1193.7147
832.29456,-1194.6428
829.6759,-1195.2377
827.6391,-1193.66
824.7982,-1195.0894
822.2264,-1195.5168
820.48047,-1192.9382
817.68616,-1194.1975
-778.9809,-1179.0056
-781.7895,-1177.9042
-784.3861,-1177.4797
-784.84296,-1184.0194
-787.5083,-1183.4197
-789.966,-1183.5033
-791.75604,-1185.8125
-794.632,-1184.5256
-796.5379,-1186.4961
-798.90765,-1186.9244
-801.4313,-1186.8374
-803.20575,-1189.3354
-805.9351,-1188.5583
-808.2181,-1189.3351
-810.2592,-1190.9792
-813.1845,-1189.509
-814.8462,-1192.5437
-817.38574,-1192.459
-820.0205,-1192.0276
-822.1319,-1193.5093
-824.673,-1193.4268
-827.1666,-1193.519
